City,Lat,Lng,Max_Temp,Cloudiness,Humidity,Wind_Speed,country,date
busselton,-33.65,115.33,289.26,1,67,4.92,AU,1603147753
kapaa,22.08,-159.32,302.59,40,78,7.2,US,1603147753
khatanga,71.97,102.5,260.35,33,96,0.28,RU,1603147753
brae,60.4,-1.35,281.15,100,87,17,GB,1603147753
port elizabeth,-33.92,25.57,289.15,75,87,6.2,ZA,1603147486
chicama,-7.84,-79.15,292.28,49,72,3.07,PE,1603147753
ushuaia,-54.8,-68.3,277.15,75,86,19.5,AR,1603147601
sola,-13.88,167.55,299.89,54,79,7.71,VU,1603147753
malumfashi,11.79,7.62,297.13,0,35,2.41,NG,1603147754
bardiyah,31.76,25.09,296.06,75,75,3.43,LY,1603147613
komsomolskiy,40.43,71.72,283.15,0,41,3.1,UZ,1603147462
matara,5.95,80.54,298.62,83,88,4.69,LK,1603147702
geraldton,-28.77,114.6,292.15,90,72,3.6,AU,1603147466
chokurdakh,70.63,147.92,264.1,93,98,2.96,RU,1603147754
coihaique,-45.58,-72.07,281.15,75,49,2.1,CL,1603147754
jamestown,42.1,-79.24,283.71,90,100,2.6,US,1603147754
vaini,-21.2,-175.2,297.15,75,73,4.6,TO,1603147754
rikitea,-23.12,-134.97,296.72,0,78,5.33,PF,1603147680
shimoda,34.67,138.95,285.37,97,79,5.96,JP,1603147721
emba,48.83,58.14,283.08,0,45,4.04,KZ,1603147754
mehamn,71.04,27.85,276.58,100,77,5.05,NO,1603147467
hobart,-42.88,147.33,287.04,75,71,3.6,AU,1603147646
east london,-33.02,27.91,291.93,21,85,4.76,ZA,1603147720
alice springs,-23.7,133.88,292.15,35,82,4.1,AU,1603147550
hobyo,5.35,48.53,299.86,15,77,7.29,SO,1603147754
maniitsoq,65.42,-52.9,276.29,100,89,13.2,GL,1603147754
thompson,55.74,-97.86,272.15,90,68,3.1,CA,1603147754
taolanaro,,,,,,,,
gat,31.61,34.76,296.48,16,78,2.1,IL,1603147568
ust-bolsheretsk,,,,,,,,
trairi,-3.28,-39.27,299.24,28,77,5.71,BR,1603147754
meyungs,,,,,,,,
teguldet,57.31,88.17,272.75,100,98,5.17,RU,1603147754
port lincoln,-34.73,135.87,287.84,100,80,5.68,AU,1603147477
tiksi,71.69,128.87,263.4,100,93,10.29,RU,1603147470
berlevag,70.86,29.09,274.15,40,86,5.7,NO,1603147718
new norfolk,-42.78,147.06,287.04,53,55,3.13,AU,1603147754
san jeronimo de tunan,,,,,,,,
punta arenas,-53.15,-70.92,278.15,20,71,14.9,CL,1603147754
yellowknife,62.46,-114.35,271.15,75,68,2.1,CA,1603147741
bolungarvik,,,,,,,,
castro,-24.79,-50.01,290.58,13,89,2.93,BR,1603147754
tasiilaq,65.61,-37.64,273.15,51,91,7.2,GL,1603147754
mataura,-46.19,168.86,282.04,59,87,3.13,NZ,1603147754
azangaro,-14.92,-70.22,283.97,87,54,2.67,PE,1603147755
amapa,1,-52,301.55,61,47,2.58,BR,1603147755
okhotsk,59.38,143.3,267.37,14,80,10.82,RU,1603147755
pochutla,15.74,-96.47,304.15,20,66,3.6,MX,1603147755
saint george,37.1,-113.58,304.82,1,10,3.1,US,1603147720
hermanus,-34.42,19.23,287.04,100,85,1.79,ZA,1603147755
necochea,-38.55,-58.74,284.82,14,58,3.58,AR,1603147575
samarai,-10.62,150.67,300.18,18,83,3.83,PG,1603147755
nikolskoye,59.7,30.79,275.37,90,93,3,RU,1603147755
jonava,55.08,24.28,277.15,46,86,3.1,LT,1603147755
leningradskiy,69.38,178.42,270.44,96,91,3.05,RU,1603147688
temaraia,,,,,,,,
barentsburg,,,,,,,,
pampas,-12.4,-74.9,285.74,21,66,2.96,PE,1603147755
torbay,47.67,-52.73,284.26,40,87,3.6,CA,1603147755
general roca,-39.03,-67.58,294.15,0,21,6.2,AR,1603147621
carnarvon,-24.87,113.63,293.15,90,82,5.1,AU,1603147463
xingcheng,40.62,120.72,286.2,0,48,4.57,CN,1603147755
saldanha,-33.01,17.94,288.15,100,72,1.5,ZA,1603147466
husavik,66.04,-17.34,274.15,75,86,1.22,IS,1603147479
presidencia roque saenz pena,-26.79,-60.44,304.27,22,44,3.4,AR,1603147755
tura,25.52,90.22,294.98,0,89,1.47,IN,1603147755
mangrol,21.12,70.12,301.09,47,81,2.94,IN,1603147509
taseyevo,57.22,94.9,271.46,100,93,2.88,RU,1603147755
itarema,-2.92,-39.92,299.28,6,78,8.23,BR,1603147679
general cepeda,25.38,-101.45,299.75,0,19,7.55,MX,1603147755
tuktoyaktuk,69.45,-133.04,270.15,90,92,3.1,CA,1603147755
minsk,53.9,27.57,275.15,87,93,4,BY,1603147740
gloversville,43.05,-74.34,284.82,90,100,1.43,US,1603147755
albany,42.6,-73.97,287.59,100,77,2,US,1603147475
aljezur,37.32,-8.8,293.15,100,94,4.92,PT,1603147755
kamenka,51.32,42.77,277.77,67,85,3.14,RU,1603147755
sinnamary,5.38,-52.95,300.43,53,81,5.32,GF,1603147719
puerto ayora,-0.74,-90.35,294.82,97,87,2.24,EC,1603147755
ostrovnoy,68.05,39.51,275.17,91,82,6.9,RU,1603147755
ayan,56.45,138.17,271.12,42,80,6.35,RU,1603147578
barrow,71.29,-156.79,267.15,90,85,5.1,US,1603147701
lodja,-3.48,23.43,293.96,74,96,0.7,CD,1603147756
egvekinot,66.32,-179.17,270.87,35,97,1.95,RU,1603147756
jujuy,,,,,,,,
hilo,19.73,-155.09,303.15,20,55,5.1,US,1603147756
mahebourg,-20.41,57.7,296.15,40,78,4.6,MU,1603147756
bilma,18.69,12.92,300.6,0,16,2.7,NE,1603147756
pisco,-13.7,-76.22,293.15,1,68,8.7,PE,1603147756
parrita,9.52,-84.32,293.15,75,93,2.6,CR,1603147756
bengkulu,-3.8,102.27,297.64,100,83,1.44,ID,1603147683
mikhaylovskoye,51.82,79.72,276.11,86,69,4.95,RU,1603147756
stamsund,,,,,,,,
saurimo,-9.66,20.39,292.58,1,76,1.94,AO,1603147756
manicore,-5.81,-61.3,299.46,96,77,1.06,BR,1603147756
lavrentiya,65.58,-171,275.27,8,74,2.19,RU,1603147756
bredasdorp,-34.53,20.04,288.15,100,62,3.6,ZA,1603147756
artesia,33.87,-118.08,299.82,1,64,3.6,US,1603147620
klichka,50.45,118,272.13,100,96,1.42,RU,1603147756
upernavik,72.79,-56.15,273.6,9,91,5.22,GL,1603147756
deputatskiy,69.3,139.9,260.71,98,95,1.94,RU,1603147756
port hardy,50.7,-127.42,285.15,75,71,3.6,CA,1603147710
hermiston,45.84,-119.29,292.59,1,42,10.8,US,1603147756
mount gambier,-37.83,140.77,283.15,90,100,2.1,AU,1603147500
longonjo,-12.91,15.25,292.75,24,81,1.27,AO,1603147756
fairbanks,64.84,-147.72,267.15,90,85,2.1,US,1603147532
kruisfontein,-34,24.73,289.26,100,80,1.79,ZA,1603147721
horsham,51.06,-0.33,286.15,100,66,4.1,GB,1603147756
oktyabrskiy,54.48,53.47,277.98,61,84,1.35,RU,1603147756
amderma,,,,,,,,
thisted,56.96,8.69,282.04,100,79,0.45,DK,1603147756
sentyabrskiy,,,,,,,,
polovinnoye,54.79,65.99,282.28,100,65,2.23,RU,1603147756
ponta do sol,32.67,-17.1,294.15,75,83,4.6,PT,1603147756
chapada dos guimaraes,-15.46,-55.75,303.15,96,51,3.1,BR,1603147756
airai,-8.93,125.41,293.95,4,48,0.83,TL,1603147756
santa isabel,-23.32,-46.22,294.15,90,88,1.5,BR,1603147565
dingle,11,122.67,298.84,100,88,0.44,PH,1603147757
miranorte,,,,,,,,
tacuarembo,-31.73,-55.98,296.78,0,79,0.8,UY,1603147757
cape town,-33.93,18.42,288.15,40,93,3.1,ZA,1603147126
kodinsk,58.69,99.18,269.74,100,95,4.55,RU,1603147757
avarua,-21.21,-159.78,299.15,10,78,3.1,CK,1603147757
